Size,Package
206279153,linux-firmware
162524613,moby-engine
139315117,containerd
77104662,initramfs
79385041,kernel-core
62753791,containernetworking-plugins
49701859,podman
34138305,libicu
32762840,kernel-modules
29060523,mozjs78
25803564,skopeo
23101510,ignition
22322330,samba-client-libs
18505987,selinux-policy-targeted
17053858,git-core
14652908,glibc
14197830,systemd
13441062,glib2
13018140,util-linux
11631148,runc
10880566,coreutils-common
10155766,podman-plugins
9815139,cracklib-dicts
9611632,rpm-ostree
9406472,systemd-udev
9249744,NetworkManager-libnm
8719631,grub2-tools
8705071,gnupg2
8090322,file-libs
8080750,glibc-common
7739748,bash
7000489,NetworkManager
6527697,coreos-installer
6242283,fwupd
6237909,zincati
6101499,toolbox
6061298,coreutils
5574124,sssd-common
5435192,grub2-common
5306583,gettext
5187284,shared-mime-info
5109581,afterburn
4949258,btrfs-progs
4899961,microcode_ctl
4380520,e2fsprogs
4224485,sudo
3903871,lvm2
3855988,openssl-libs
3775505,shadow-utils
3723108,shim-x64
3656532,bind-libs
3382444,xfsprogs
3234077,grub2-tools-minimal
3173210,tar
3129398,gnutls
3107282,grub2-pc-modules
2874205,device-mapper-persistent-data
2778065,sg3_utils
2752015,rpm
2678713,lvm2-libs
2625442,kbd-misc
2558274,grub2-efi-x64
2465301,bootupd
2436090,libstdc++
2243947,fedora-coreos-pinger
2228408,tpm2-tss
2193525,krb5-libs
2114833,cryptsetup-libs
2057054,coreos-installer-bootinfra
2037869,openssh-clients
2002367,libuser
1955782,iptables-libs
1925006,pam
1923198,libxml2
1922894,libdb
1901542,openssh
1800741,tzdata
1785492,iproute
1766798,findutils
1686814,gawk
1662976,p11-kit
1638915,libunistring
1633856,systemd-libs
1585124,kbd
1523719,vim-minimal
1509912,iscsi-initiator-utils
1498646,criu
1479866,tpm2-tools
1468179,diffutils
1391897,libgcrypt
1328310,systemd-container
1327018,slang
1310976,sqlite-libs
1303320,kexec-tools
1215370,dracut
1197772,openssl
1156192,socat
1095686,ostree-libs
1084298,cpio
1078419,openssh-server
1078362,libibverbs
1057184,bash-completion
1036703,libnl3-cli
1028291,libzstd
