Name,Frequency,Size,Src
containerd-1.6.10-1.fc37.x86_64,13,141254300,containerd-1.6.10-1.fc37.src.rpm
linux-firmware-20221109-144.fc37.noarch,15,123903044,linux-firmware-20221109-144.fc37.src.rpm
moby-engine-20.10.20-1.fc37.x86_64,11,120931866,moby-engine-20.10.20-1.fc37.src.rpm
initramfs (kernel 6.0.11-300.fc37.x86_64),4294967295,76943799,initramfs (kernel 6.0.11-300.fc37.x86_64)
rpmostree-unpackaged-content,4294967295,64370603,rpmostree-unpackaged-content
kernel-modules-6.0.11-300.fc37.x86_64,117,59314428,kernel-6.0.11-300.fc37.src.rpm
kernel-core-6.0.11-300.fc37.x86_64,117,55547726,kernel-6.0.11-300.fc37.src.rpm
containernetworking-plugins-1.1.1-8.fc37.x86_64,4,53453008,containernetworking-plugins-1.1.1-8.fc37.src.rpm
podman-4:4.3.1-1.fc37.x86_64,12,42714263,podman-4.3.1-1.fc37.src.rpm
libicu-71.1-2.fc37.x86_64,3,36300193,icu-71.1-2.fc37.src.rpm
skopeo-1:1.10.0-3.fc37.x86_64,10,22986598,skopeo-1.10.0-3.fc37.src.rpm
samba-client-libs-2:4.17.3-0.fc37.x86_64,23,20710200,samba-4.17.3-0.fc37.src.rpm
git-core-2.38.1-1.fc37.x86_64,11,20097918,git-2.38.1-1.fc37.src.rpm
ignition-2.14.0-4.fc37.x86_64,4,19957700,ignition-2.14.0-4.fc37.src.rpm
amd-gpu-firmware-20221109-144.fc37.noarch,15,15104929,linux-firmware-20221109-144.fc37.src.rpm
mozjs102-102.5.0-1.fc37.x86_64,5,13413413,mozjs102-102.5.0-1.fc37.src.rpm
glib2-2.74.1-2.fc37.x86_64,16,13379176,glib2-2.74.1-2.fc37.src.rpm
rpm-ostree-2022.16-1.fc37.x86_64,15,12983311,rpm-ostree-2022.16-1.fc37.src.rpm
systemd-251.8-586.fc37.x86_64,23,11538494,systemd-251.8-586.fc37.src.rpm
util-linux-2.38.1-1.fc37.x86_64,5,11177865,util-linux-2.38.1-1.fc37.src.rpm
systemd-udev-251.8-586.fc37.x86_64,23,10832813,systemd-251.8-586.fc37.src.rpm
runc-2:1.1.4-1.fc37.x86_64,4,10821610,runc-1.1.4-1.fc37.src.rpm
coreos-installer-0.16.1-2.fc37.x86_64,11,10583184,rust-coreos-installer-0.16.1-2.fc37.src.rpm
coreutils-common-9.1-6.fc37.x86_64,7,10479266,coreutils-9.1-6.fc37.src.rpm
NetworkManager-libnm-1:1.40.0-1.fc37.x86_64,18,9705321,NetworkManager-1.40.0-1.fc37.src.rpm
file-libs-5.42-4.fc37.x86_64,4,9339051,file-5.42-4.fc37.src.rpm
gnupg2-2.3.8-1.fc37.x86_64,6,8787435,gnupg2-2.3.8-1.fc37.src.rpm
bind-libs-32:9.18.8-1.fc37.x86_64,10,8782616,bind-9.18.8-1.fc37.src.rpm
netavark-1.3.0-1.fc37.x86_64,10,8154056,netavark-1.3.0-1.fc37.src.rpm
grub2-tools-1:2.06-63.fc37.x86_64,35,8060111,grub2-2.06-63.fc37.src.rpm
intel-gpu-firmware-20221109-144.fc37.noarch,15,8040724,linux-firmware-20221109-144.fc37.src.rpm
toolbox-0.0.99.3-7.fc37.x86_64,1,7547534,toolbox-0.0.99.3-7.fc37.src.rpm
bash-5.2.9-3.fc37.x86_64,3,6909590,bash-5.2.9-3.fc37.src.rpm
openssl-libs-1:3.0.5-3.fc37.x86_64,7,6852656,openssl-3.0.5-3.fc37.src.rpm
glibc-2.36-8.fc37.x86_64,28,6678461,glibc-2.36-8.fc37.src.rpm
zincati-0.0.25-1.fc37.x86_64,3,6338868,rust-zincati-0.0.25-1.fc37.src.rpm
fwupd-1.8.7-2.fc37.x86_64,10,6270207,fwupd-1.8.7-2.fc37.src.rpm
coreutils-9.1-6.fc37.x86_64,7,5943512,coreutils-9.1-6.fc37.src.rpm
NetworkManager-1:1.40.0-1.fc37.x86_64,18,5680296,NetworkManager-1.40.0-1.fc37.src.rpm
sssd-common-2.8.1-1.fc37.x86_64,9,5402817,sssd-2.8.1-1.fc37.src.rpm
microcode_ctl-2:2.1-53.fc37.x86_64,4,5179392,microcode_ctl-2.1-53.fc37.src.rpm
shared-mime-info-2.2-2.fc37.x86_64,1,5163964,shared-mime-info-2.2-2.fc37.src.rpm
btrfs-progs-6.0.2-1.fc37.x86_64,4,5105435,btrfs-progs-6.0.2-1.fc37.src.rpm
grub2-common-1:2.06-63.fc37.noarch,35,4671436,grub2-2.06-63.fc37.src.rpm
afterburn-5.3.0-3.fc37.x86_64,3,4567389,rust-afterburn-5.3.0-3.fc37.src.rpm
e2fsprogs-1.46.5-3.fc37.x86_64,0,4380969,e2fsprogs-1.46.5-3.fc37.src.rpm
sudo-1.9.11-4.p3.fc37.x86_64,1,4341132,sudo-1.9.11-4.p3.fc37.src.rpm
podman-plugins-4:4.3.1-1.fc37.x86_64,12,3428448,podman-4.3.1-1.fc37.src.rpm
shadow-utils-2:4.12.3-3.fc37.x86_64,6,3319916,shadow-utils-4.12.3-3.fc37.src.rpm
xfsprogs-5.18.0-3.fc37.x86_64,4,3274604,xfsprogs-5.18.0-3.fc37.src.rpm
grub2-tools-minimal-1:2.06-63.fc37.x86_64,35,3238317,grub2-2.06-63.fc37.src.rpm
aardvark-dns-1.3.0-1.fc37.x86_64,8,3236101,aardvark-dns-1.3.0-1.fc37.src.rpm
lvm2-2.03.11-9.fc37.x86_64,0,3181855,lvm2-2.03.11-9.fc37.src.rpm
grub2-pc-modules-1:2.06-63.fc37.noarch,35,3104037,grub2-2.06-63.fc37.src.rpm
gnutls-3.7.8-3.fc37.x86_64,7,2789009,gnutls-3.7.8-3.fc37.src.rpm
tar-2:1.34-5.fc37.x86_64,1,2754323,tar-1.34-5.fc37.src.rpm
device-mapper-persistent-data-0.9.0-8.fc37.x86_64,0,2744176,device-mapper-persistent-data-0.9.0-8.fc37.src.rpm
libstdc++-12.2.1-4.fc37.x86_64,14,2667698,gcc-12.2.1-4.fc37.src.rpm
lvm2-libs-2.03.11-9.fc37.x86_64,0,2643944,lvm2-2.03.11-9.fc37.src.rpm
kbd-misc-2.5.1-3.fc37.noarch,3,2447963,kbd-2.5.1-3.fc37.src.rpm
sg3_utils-1.46-4.fc37.x86_64,0,2391907,sg3_utils-1.46-4.fc37.src.rpm
nano-6.4-1.fc37.x86_64,4,2351948,nano-6.4-1.fc37.src.rpm
ca-certificates-2022.2.54-5.fc37.noarch,3,2332655,ca-certificates-2022.2.54-5.fc37.src.rpm
coreos-installer-bootinfra-0.16.1-2.fc37.x86_64,11,2221944,rust-coreos-installer-0.16.1-2.fc37.src.rpm
bootupd-0.2.8-3.fc37.x86_64,3,2178917,rust-bootupd-0.2.8-3.fc37.src.rpm
tpm2-tss-3.2.0-3.fc37.x86_64,5,2174351,tpm2-tss-3.2.0-3.fc37.src.rpm
krb5-libs-1.19.2-13.fc37.x86_64,6,2100969,krb5-1.19.2-13.fc37.src.rpm
rpm-4.18.0-1.fc37.x86_64,14,2065794,rpm-4.18.0-1.fc37.src.rpm
openssh-clients-8.8p1-7.fc37.x86_64,6,2042683,openssh-8.8p1-7.fc37.src.rpm
cryptsetup-libs-2.5.0-1.fc37.x86_64,2,1962647,cryptsetup-2.5.0-1.fc37.src.rpm
cyrus-sasl-lib-2.1.28-8.fc37.x86_64,5,1928429,cyrus-sasl-2.1.28-8.fc37.src.rpm
libdb-5.3.28-53.fc37.x86_64,2,1916686,libdb-5.3.28-53.fc37.src.rpm
iptables-libs-1.8.8-3.fc37.x86_64,3,1897520,iptables-1.8.8-3.fc37.src.rpm
libuser-0.63-13.fc37.x86_64,2,1893595,libuser-0.63-13.fc37.src.rpm
iproute-5.18.0-2.fc37.x86_64,3,1867191,iproute-5.18.0-2.fc37.src.rpm
libunistring-1.0-2.fc37.x86_64,0,1800976,libunistring-1.0-2.fc37.src.rpm
systemd-libs-251.8-586.fc37.x86_64,23,1764760,systemd-251.8-586.fc37.src.rpm
