Package,Size
libgcc-12.2.1-2.f36, 219156
crypto-policies-20220428-1.gitdfb10ea.f36, 118598
linux-firmware-whence-20220815-139.f36, 191279
fuse-common-3.10.5-2.f36, 38
fedora-release-identity-coreos-36-18.f36, 1874
amd-gpu-firmware-20220815-139.f36, 21852229
intel-gpu-firmware-20220815-139.f36, 7428719
nvidia-gpu-firmware-20220815-139.f36, 1262337
linux-firmware-20220815-139.f36, 192200230
vim-data-2:9.0.475-1.f36, 18058
tzdata-2022c-1.f36, 1732822
publicsuffix-list-dafsa-20210518-4.f36, 68815
pkgconf-m4-1.8.0-2.f36, 14187
pcre2-syntax-10.40-1.f36, 234324
ncurses-base-6.2-9.20210508.f36, 307293
libssh-config-0.9.6-4.f36, 277
libreport-filesystem-2.17.4-1.f36, 0
kbd-misc-2.4.0-9.f36, 2703506
fedora-gpg-keys-36-4.f36, 121815
fedora-release-coreos-36-18.f36, 0
fedora-repos-36-4.f36, 4597
fedora-release-common-36-18.f36, 17977
setup-2.14.1-1.f36, 735847
filesystem-3.18-2.f36, 106
efi-filesystem-5-5.f36, 0
basesystem-11-13.f36, 0
glibc-minimal-langpack-2.35-17.f36, 0
glibc-common-2.35-17.f36, 1106996
glibc-2.35-17.f36, 7176935
ncurses-libs-6.2-9.20210508.f36, 998407
bash-5.1.16-2.f36, 7739755
zlib-1.2.11-33.f36, 203657
popt-1.18-7.f36, 130440
xz-libs-5.2.5-9.f36, 177493
libcom_err-1.46.5-2.f36, 69105
libcap-2.48-4.f36, 182431
libzstd-1.5.2-2.f36, 755203
libtalloc-2.3.4-1.f36, 50562
libuuid-2.38-1.f36, 34589
libunistring-1.0-1.f36, 1853531
bzip2-libs-1.0.8-11.f36, 78836
keyutils-libs-1.6.1-4.f36, 55961
libstdc++-12.2.1-2.f36, 2582308
libxcrypt-4.4.28-1.f36, 275610
libtevent-0.12.1-1.f36, 88116
libgpg-error-1.45-1.f36, 891566
libtdb-1.4.7-1.f36, 99780
pcre2-10.40-1.f36, 656570
libidn2-2.3.3-1.f36, 318987
jansson-2.13.1-4.f36, 86620
libseccomp-2.5.3-2.f36, 175620
libxml2-2.9.14-1.f36, 1962670
elfutils-libelf-0.187-4.f36, 1027313
gmp-1:6.2.1-2.f36, 818591
libmnl-1.0.4-15.f36, 56291
readline-8.1-6.f36, 493084
alternatives-1.19-2.f36, 63928
json-c-0.15-3.f36, 79791
libbasicobjects-0.1.1-50.f36, 58860
libcollection-0.7.0-50.f36, 101296
libref_array-0.1.5-50.f36, 58982
libsss_idmap-2.7.4-1.f36, 79966
lz4-libs-1.9.3-4.f36, 145635
sqlite-libs-3.36.0-5.f36, 1359729
grub2-common-1:2.06-53.f36, 5434307
libedit-3.1-41.20210910cvs.f36, 252973
expat-2.4.7-1.f36, 285003
libattr-2.5.1-4.f36, 29517
libacl-2.3.1-3.f36, 37154
libcap-ng-0.8.3-1.f36, 78604
audit-libs-3.0.9-1.f36, 307569
libdhash-0.5.0-50.f36, 63198
libnl3-3.7.0-1.f36, 1086511
protobuf-c-1.4.1-2.f36, 75192
nettle-3.8-1.f36, 789174
libassuan-2.5.5-4.f36, 171229
libaio-0.3.111-13.f36, 59805
libsepol-3.3-3.f36, 755979
libselinux-3.3-4.f36, 173701
sed-4.8-10.f36, 813663
libsemanage-3.3-3.f36, 304176
shadow-utils-2:4.11.1-4.f36, 3808178
libbpf-2:0.7.0-3.f36, 364252
libgcrypt-1.10.1-3.f36, 1399681
systemd-libs-250.8-1.f36, 1778920
dbus-libs-1:1.14.0-1.f36, 382580
file-libs-5.41-4.f36, 8803794
efivar-libs-38-2.f36, 379122
fuse-libs-2.9.9-14.f36, 313590
fuse3-libs-3.10.5-2.f36, 288796
libtasn1-4.18.0-2.f36, 184130
lmdb-libs-0.9.29-3.f36, 108472
lzo-2.10-6.f36, 162787
userspace-rcu-0.13.0-4.f36, 398643
fuse3-3.10.5-2.f36, 119424
file-5.41-4.f36, 98501
nano-6.0-2.f36, 2930233
findutils-1:4.9.0-1.f36, 1539935
libselinux-utils-3.3-4.f36, 363842
tar-2:1.34-3.f36, 3156470
libnftnl-1.2.1-2.f36, 233474
libpsl-0.21.1-5.f36, 78688
libicu-69.1-6.f36, 34554593
e2fsprogs-libs-1.46.5-2.f36, 549047
pigz-2.7-1.f36, 145348
diffutils-3.8-2.f36, 1511102
libcbor-0.7.0-5.f36, 99874
libdb-5.3.28-51.f36, 1947678
libeconf-0.4.0-3.f36, 46347
pam-libs-1.5.2-13.f36, 131055
libffi-3.4.2-8.f36, 66449
p11-kit-0.24.1-2.f36, 1678141
p11-kit-trust-0.24.1-2.f36, 451463
gnutls-3.7.7-1.f36, 3245705
libsmartcols-2.38-1.f36, 140139
lua-libs-5.4.4-3.f36, 556062
pcre-8.45-1.f36.1, 547748
grep-3.7-2.f36, 883039
xz-5.2.5-9.f36, 686091
kbd-2.4.0-9.f36, 1586196
mozjs91-91.13.0-1.f36, 13056259
squashfs-tools-4.5.1-1.f36, 594706
libusb1-1.0.25-8.f36, 168619
procps-ng-3.3.17-4.f36, 1009383
libutempter-1.2.1-6.f36, 59641
shadow-utils-subid-2:4.11.1-4.f36, 56062
bubblewrap-0.5.0-2.f36, 115863
device-mapper-persistent-data-0.9.0-7.f36, 2813421
libibverbs-39.0-1.f36, 1173036
libpcap-14:1.10.1-3.f36, 399544
iptables-legacy-libs-1.8.7-15.f36, 93204
libnl3-cli-3.7.0-1.f36, 1194605
libteam-1.31-5.f36, 113524
gettext-libs-0.21-9.f36, 1023724
grub2-pc-modules-1:2.06-53.f36, 3102837
zstd-1.5.2-2.f36, 1608976
ethtool-2:5.19-1.f36, 673299
mpfr-4.1.0-9.f36, 814735
libksba-1.6.0-3.f36, 397672
gdisk-1.0.9-2.f36, 725653
inih-56-1.f36, 52321
snappy-1.1.9-4.f36, 67646
keyutils-1.6.1-4.f36, 136758
libipa_hbac-2.7.4-1.f36, 63108
libss-1.46.5-2.f36, 81447
dbus-common-1:1.14.0-1.f36, 11591
dbus-broker-32-1.f36, 405408
dbus-1:1.14.0-1.f36, 0
hostname-3.23-6.f36, 46880
less-590-5.f36, 367448
psmisc-23.4-3.f36, 719978
iproute-5.15.0-2.f36, 1978085
aardvark-dns-1.0.3-1.f36, 3655704
netavark-1.0.3-3.f36, 8408620
c-ares-1.17.2-2.f36, 271213
cpio-2.13-12.f36, 1084091
dosfstools-4.2-3.f36, 430055
fstrm-0.6.1-4.f36, 56220
gdbm-libs-1:1.22-2.f36, 129034
libargon2-20171227-9.f36, 50611
libbrotli-1.0.9-7.f36, 780690
libbsd-0.10.0-9.f36, 352631
libdaemon-0.14-23.f36, 70039
teamd-1.31-5.f36, 275379
libgomp-12.2.1-2.f36, 446109
gettext-0.21-9.f36, 5292199
libmaxminddb-1.6.0-2.f36, 66180
libndp-1.8-3.f36, 88793
libnet-1.2-5.f36, 131144
libnfnetlink-1.0.1-21.f36, 55315
libnetfilter_conntrack-1.0.8-4.f36, 143106
iptables-libs-1.8.7-15.f36, 2006048
iptables-legacy-1.8.7-15.f36, 105482
nftables-1:1.0.1-3.f36, 998471
criu-3.17.1-2.f36, 1545594
criu-libs-3.17.1-2.f36, 86818
libnghttp2-1.46.0-2.f36, 162572
libpath_utils-0.2.1-50.f36, 63200
libini_config-1.3.1-50.f36, 159456
libpkgconf-1.8.0-2.f36, 76121
pkgconf-1.8.0-2.f36, 81611
pkgconf-pkg-config-1.8.0-2.f36, 989
libsigsegv-2.14-2.f36, 50681
gawk-5.1.1-2.f36, 1718962
libsmbios-2.4.3-5.f36, 401372
libsss_nss_idmap-2.7.4-1.f36, 84742
libsss_sudo-2.7.4-1.f36, 55671
libtool-ltdl-2.4.7-1.f36, 72216
libuv-1:1.44.2-1.f36, 417883
libverto-0.3.2-3.f36, 30453
libyaml-0.2.5-7.f36, 134299
linux-atm-libs-2.5.1-31.f36, 74487
npth-1.6-8.f36, 50699
numactl-libs-2.0.14-5.f36, 54998
oniguruma-6.9.8-1.f36, 785665
jq-1.6-13.f36, 428069
sg3_utils-libs-1.46-3.f36, 283885
slang-2.3.2-11.f36, 1326026
newt-0.52.21-12.f36, 217482
xxhash-libs-0.8.1-2.f36, 96960
yajl-2.1.0-18.f36, 93512
crun-1.6-2.f36, 440035
coreutils-common-9.0-8.f36, 11033943
openssl-libs-1:3.0.5-1.f36, 6875475
coreutils-9.0-8.f36, 5945882
ca-certificates-2022.2.54-1.2.f36, 2344948
krb5-libs-1.19.2-11.f36, 2200788
libblkid-2.38-1.f36, 235145
libmount-2.38-1.f36, 319461
glib2-2.72.3-1.f36, 13755604
libtirpc-1.3.3-0.f36, 208386
libarchive-3.5.3-3.f36, 915702
kmod-29-7.f36, 230237
json-glib-1.6.6-2.f36, 551836
polkit-libs-0.120-5.f36, 208808
util-linux-core-2.38-1.f36, 1348373
kmod-libs-29-7.f36, 143286
